City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
broome,-25.2986,152.8535,298.17,72,100,6.7,AU,1636276450
mataura,18.4167,-64.6167,298.71,65,83,5.7,VG,1636276451
yokaichiba,33.1434,-117.1661,289.24,91,90,0.45,US,1636276451
qaanaaq,56.0667,-3.7167,283.36,77,100,9.02,GB,1636276452
bambanglipuro,51.226,-58.6502,276.11,79,100,5.61,CA,1636276452
abu samrah,39.05,-27.9833,293.4,84,84,12.41,PT,1636276452
sungaipenuh,22.6783,-3.9836,298.61,18,16,2.09,ML,1636276453
cabo san lucas,53.8251,-101.2541,273.97,91,33,2.86,CA,1636276453
norman wells,27.9769,-114.0611,290.87,90,74,3.85,MX,1636276453
marcona,40.4272,71.7189,283.55,46,40,1.03,UZ,1636276454
craigieburn,16.4833,81.8333,303.31,62,96,3.43,IN,1636276454
bengkulu,-45.8742,170.5036,286.93,79,99,1.57,NZ,1636276454
kyle of lochalsh,51.8333,143.1667,268.62,55,8,6.04,RU,1636276455
bolungarvik,-20.3428,57.7575,301.6,71,89,5.3,MU,1636276455
dubrovnik,-45.5752,-72.0662,283.12,76,75,1.54,CL,1636276456
fort saint james,6.9833,35.5833,298.7,53,67,1.04,ET,1636276456
orlik,32.8663,59.2211,282.71,57,100,2,IR,1636276456
isangel,8.25,-80.6167,297.62,90,42,1.25,PA,1636276457
portland,68.6949,15.4162,276.13,89,99,2.14,NO,1636276457
north bend,-16.5,-68.15,280.6,83,100,0.72,BO,1636275856
hervey bay,34.6959,44.9661,297.64,11,0,6.68,IQ,1636276457
road town,63.05,179.3167,263.76,83,23,3.3,RU,1636276458
san marcos,69.3833,178.4167,258.16,81,98,2.89,RU,1636276458
tawkar,13.9061,-4.5533,306.64,22,63,2.85,ML,1636276458
kincardine,20.1986,1.0114,303.72,15,57,2.15,ML,1636276459
saint-augustin,-41.8697,-73.8203,283.39,86,91,0.72,CL,1636276459
lagoa,1.1667,108.9667,299.33,86,100,5.31,ID,1636276459
taoudenni,54.3663,71.7632,278.25,28,45,8.31,RU,1636276460
the pas,3.0201,30.9111,298.46,62,44,2.4,UG,1636276460
guerrero negro,64.5011,-165.4064,259.19,78,20,2.06,US,1636276461
komsomolskiy,64.2539,-15.2082,277.12,66,100,4.11,IS,1636276461
razole,68.2191,-135.0107,254.77,98,47,0.92,CA,1636276461
fevralsk,41.8666,-103.6672,281.39,67,1,2.06,US,1636276462
dunedin,-14.9594,-39.2997,295.11,97,96,0.64,BR,1636276462
nogliki,50.6996,-127.4199,278.28,89,100,3.52,CA,1636276462
mys shmidta,-30.3167,149.7833,292.88,91,100,3.71,AU,1636276463
bambous virieux,-18.6047,-43.3794,292.26,97,99,1.27,BR,1636276463
coihaique,58.2093,-6.3865,281.44,74,100,13.98,GB,1636276463
mizan teferi,63.7553,121.6247,261.68,93,100,3.87,RU,1636276464
birjand,60.9167,-46.05,273.27,67,100,4.76,GL,1636276464
el cristo,22.2855,114.1577,301.18,79,21,3.13,HK,1636276395
sortland,51.0759,17.7228,281.23,56,92,8.97,PL,1636276465
la paz,-51.6226,-69.2181,282.18,87,75,0.51,AR,1636276465
kifri,64.8569,-147.8028,268.96,90,90,0,US,1636276465
beringovskiy,-34.4187,19.2345,292.54,56,98,3.39,ZA,1636276466
leningradskiy,-41.0667,145.9167,285.78,75,4,3.05,AU,1636276466
djenne,-9.8,-139.0333,298.75,70,0,7.52,PF,1636276413
tessalit,55.7666,-120.2362,271.65,93,90,1.03,CA,1636276283
ancud,13.2167,-59.5167,300.49,78,40,8.75,BB,1636276467
pemangkat,-38.5473,-58.7368,280.39,74,100,3.25,AR,1636276467
poltavka,10.5669,72.642,300.78,75,72,3.17,IN,1636276467
arua,16.8634,-99.8901,297.35,81,34,1.66,MX,1636276468
nome,13.0167,31.8667,308.02,16,1,4.34,SD,1636276468
hofn,-22.6667,167.4833,294.65,60,64,3.5,NC,1636276468
aklavik,57.0531,-135.33,274.09,80,1,2.57,US,1636276469
scottsbluff,61.9875,5.1352,280.52,76,99,1.34,NO,1636276469
buerarema,21.1167,70.1167,304.54,41,74,3.74,IN,1636276469
port hardy,-17.7333,-149.15,299.16,79,58,3.99,PF,1636276470
narrabri,-30.1811,-50.2056,290.21,69,34,2.92,BR,1636276470
serro,70.9963,24.6622,273.64,71,100,10,NO,1636276470
stornoway,-3.6667,152.4333,300.26,80,6,4.77,PG,1636276471
vilyuysk,13.5167,35.7667,306.99,29,6,1.97,SD,1636276471
narsaq,5.8808,-10.0467,300.13,81,87,1.84,LR,1636276471
